Date,AAPL,MSFT,NVDA,GOOGL,META,AMZN,TSLA,AMD,INTC,CSCO,ADBE,CRM,ORCL,IBM,QCOM,TXN,NOW,AVGO,MU,AMAT,JPM,BAC,WFC,GS,MS,C,AXP,BLK,SCHW,USB,JNJ,PFE,MRK,ABBV,LLY,TMO,DHR,ABT,BMY,CVS,KO,PEP,PG,COST,WMT,HD,MCD,SBUX,NKE,LOW,CAT,DE,BA,GE,HON,LMT,RTX,UPS,UNP,MMM,XOM,CVX,COP,SLB,EOG,PSX,MPC,OXY,KMI,VLO,DIS,NFLX,CMCSA,VZ,T,TMUS,CHTR,EA,NEE,DUK,SO,AEP,PLD,AMT,CCI,SPG,O,EQIX
2018-01-02,40.26707458496094,78.69989013671875,4.922529220581055,53.18886184692383,179.8406982421875,59.45050048828125,21.368667602539062,10.979999542236328,39.33037185668945,30.156709671020508,177.6999969482422,102.6343765258789,40.96512222290039,102.65725708007812,52.420413970947266,83.38343048095703,26.34600067138672,21.0533390045166,42.58424377441406,48.3141975402832,85.5160140991211,24.510147094726562,48.37675094604492,212.20896911621094,40.621429443359375,56.31321716308594,88.05139923095703,412.0352783203125,45.83592224121094,38.68527603149414,110.13080596923828,23.443443298339844,41.29652786254883,68.287109375,74.89778900146484,188.56634521484375,78.62251281738281,50.148406982421875,44.582942962646484,56.00664138793945,35.02423095703125,90.64906311035156,72.28070068359375,168.2540283203125,28.800235748291016,152.64796447753906,141.81968688964844,47.810089111328125,56.42184066772461,78.32249450683594,131.2938995361328,139.47613525390625,282.8863830566406,80.95313262939453,122.12586975097656,254.26113891601562,66.36859893798828,88.35177612304688,112.68639373779297,147.45986938476562,58.18548583984375,88.64049530029297,42.04247283935547,54.65001678466797,80.42457580566406,73.30451202392578,51.82368469238281,60.01460647583008,11.744998931884766,66.70296478271484,105.41677856445312,20.10700035095215,30.406307220458984,33.14787673950195,15.710732460021973,61.24106979370117,348.9700012207031,106.21653747558594,31.33409309387207,58.98847198486328,33.41261672973633,53.71131134033203,50.494956970214844,112.75811767578125,75.9979248046875,109.36626434326172,36.44099044799805,379.1866760253906
2018-01-03,40.26005554199219,79.06615447998047,5.246500015258789,54.096309661865234,183.0624237060547,60.209999084472656,21.149999618530273,11.550000190734863,37.99557113647461,30.39728355407715,181.0399932861328,103.4994125366211,41.91389465332031,105.4791030883789,53.01537322998047,85.64238739013672,26.582000732421875,21.2835750579834,43.86165237426758,49.1704216003418,85.6031494140625,24.42817497253418,48.748939514160156,210.2335662841797,40.73040008544922,56.48738479614258,88.5942611694336,416.3826599121094,45.90721130371094,39.06475067138672,111.18280792236328,23.617151260375977,41.237754821777344,69.3556900024414,75.30463409423828,192.02540588378906,79.66864013671875,50.25929641723633,44.61929702758789,55.76287078857422,34.94731903076172,90.41104125976562,72.19297790527344,170.273193359375,29.05146026611328,153.4434814453125,141.2220916748047,48.706050872802734,56.412940979003906,78.66444396972656,131.49452209472656,140.1116943359375,283.80120849609375,81.71855163574219,121.1168212890625,256.39239501953125,67.34214782714844,90.30927276611328,113.31710815429688,147.45355224609375,59.32827377319336,89.28662872314453,42.81766128540039,56.07286834716797,81.62393188476562,73.79441833496094,52.92680358886719,60.84206008911133,11.844961166381836,67.05514526367188,105.86937713623047,20.5049991607666,29.91767692565918,32.46670913696289,15.347928047180176,60.829864501953125,353.0299987792969,106.50767517089844,30.66938591003418,58.804203033447266,33.221370697021484,53.25884246826172,50.40028381347656,113.19752502441406,75.67700958251953,108.85884094238281,36.34445571899414,380.9344177246094
2018-01-04,40.44707489013672,79.76207733154297,5.27415657043457,54.30644989013672,182.72540283203125,60.47949981689453,20.974666595458984,12.119999885559082,37.29880905151367,30.483293533325195,183.22000122070312,104.86578369140625,42.32680130004883,107.61543273925781,53.087730407714844,85.53177642822266,26.770000457763672,21.29067039489746,45.71442794799805,49.452823638916016,86.8294906616211,24.747875213623047,49.35870361328125,213.17178344726562,41.35306167602539,57.18412399291992,90.06784057617188,421.8794860839844,46.165618896484375,39.3654670715332,111.17491912841797,23.66861343383789,41.90619659423828,68.96017456054688,75.64075469970703,194.42913818359375,80.0513916015625,50.17399597167969,45.19755172729492,57.23310089111328,35.439537048339844,90.85637664794922,72.70330047607422,168.95095825195312,29.077747344970703,154.66128540039062,142.21267700195312,48.88856506347656,56.37739944458008,79.27993774414062,133.3004608154297,140.91494750976562,282.7243957519531,83.42945098876953,122.75347900390625,260.7905578613281,67.55450439453125,90.89510345458984,112.70295715332031,149.38099670410156,59.41038513183594,89.00873565673828,43.31165313720703,57.46426773071289,81.63864135742188,73.5926742553711,52.98081588745117,60.80961990356445,11.876194953918457,67.27075958251953,105.82222747802734,20.562999725341797,30.110170364379883,32.571983337402344,15.490604400634766,60.246524810791016,349.7900085449219,104.02330017089844,30.511795043945312,58.34354019165039,33.0797004699707,52.62833786010742,49.39054870605469,111.54367065429688,74.79793548583984,105.67465209960938,35.55925369262695,380.0604248046875
2018-01-05,40.907569885253906,80.75094604492188,5.318849086761475,55.02656555175781,185.2234649658203,61.457000732421875,21.10533332824707,11.880000114440918,37.559051513671875,30.90546989440918,185.33999633789062,106.26162719726562,42.581573486328125,108.14118957519531,53.44148635864258,86.18736267089844,27.00200080871582,21.416839599609375,44.661285400390625,49.735198974609375,86.27206420898438,24.862628936767578,49.69127655029297,212.0845184326172,41.33749771118164,57.10837936401367,90.27326965332031,425.47381591796875,46.34382247924805,39.608909606933594,112.092529296875,23.713645935058594,41.86212921142578,70.16062927246094,76.5694351196289,197.76112365722656,80.55319213867188,50.31901550292969,45.30001449584961,59.76225280761719,35.43184280395508,91.1174545288086,72.75114440917969,167.74472045898438,29.250104904174805,156.27687072753906,142.49923706054688,49.452701568603516,56.8572998046875,80.98966217041016,135.4073028564453,141.5151824951172,294.32232666015625,83.47447967529297,123.61156463623047,263.15313720703125,68.13448333740234,91.17373657226562,114.13876342773438,150.54493713378906,59.362483978271484,88.86283874511719,43.22806167602539,57.85732650756836,82.53633880615234,73.59988403320312,53.48994064331055,60.47702407836914,11.838709831237793,67.5870361328125,105.24703979492188,20.999000549316406,30.38410186767578,32.4976692199707,15.547669410705566,61.77659225463867,350.8800048828125,109.06968688964844,30.651201248168945,58.0742073059082,33.13636016845703,52.5170783996582,49.35110092163086,112.26274108886719,75.37002563476562,106.65782928466797,35.53351593017578,381.36712646484375
2018-01-08,40.755638122558594,80.83335876464844,5.481823444366455,55.22084426879883,186.64100646972656,62.34349822998047,22.42733383178711,12.279999732971191,37.559051513671875,31.226022720336914,185.0399932861328,107.00869750976562,43.02961730957031,108.79341888427734,53.28068923950195,86.59805297851562,27.059999465942383,21.468082427978516,44.41749954223633,50.937591552734375,86.39947509765625,24.690486907958984,49.12904739379883,209.00514221191406,41.16626739501953,56.441978454589844,89.44268798828125,428.6472473144531,46.54876708984375,39.66619110107422,112.23487854003906,23.449871063232422,41.619720458984375,69.03650665283203,76.18026733398438,198.0835723876953,81.01249694824219,50.17399597167969,45.31465530395508,59.24422073364258,35.377994537353516,90.59532928466797,73.13388061523438,168.39698791503906,29.682437896728516,155.90335083007812,142.40101623535156,49.20381546020508,57.36383819580078,80.109130859375,138.81004333496094,142.2125701904297,295.57073974609375,82.30386352539062,122.9441909790039,261.9398498535156,68.78182983398438,92.28105926513672,115.72384643554688,150.05682373046875,59.62936019897461,89.3005599975586,43.668846130371094,58.80064392089844,82.93367004394531,73.52786254882812,53.52850341796875,60.996212005615234,11.782482147216797,67.72359466552734,103.7384033203125,21.204999923706055,29.969499588012695,32.441951751708984,15.592514038085938,62.254737854003906,356.54998779296875,109.87516021728516,30.90375328063965,58.25847625732422,33.43387222290039,52.97695541381836,49.92695999145508,113.46117401123047,75.59326934814453,107.3555908203125,35.57857131958008,388.75701904296875
2018-01-09,40.750946044921875,80.77841186523438,5.480341911315918,55.15046691894531,186.2345428466797,62.6349983215332,22.246000289916992,11.819999694824219,36.61880874633789,31.03057098388672,186.6999969482422,107.29377746582031,43.267738342285156,109.03302764892578,52.47669982910156,87.19046020507812,27.09000015258789,21.170825958251953,41.901634216308594,49.97203826904297,86.83744049072266,24.813453674316406,49.30324935913086,210.7730712890625,41.48537826538086,57.03264617919922,89.77310943603516,432.2497253417969,47.52891540527344,39.93826675415039,114.01461029052734,23.424137115478516,41.722557067871094,69.55691528320312,76.11833190917969,201.38626098632812,83.87026977539062,50.25929641723633,45.27073287963867,59.18330001831055,35.55488967895508,90.6644287109375,72.59964752197266,166.44036865234375,29.326053619384766,156.76390075683594,142.08168029785156,49.09597396850586,56.95503616333008,80.82723999023438,139.1444549560547,146.1759033203125,303.4615478515625,83.5645523071289,123.9532241821289,263.81573486328125,69.53271484375,92.23819732666016,117.01853942871094,150.98922729492188,59.37616729736328,88.82113647460938,44.026031494140625,58.87926483154297,82.19786834716797,73.28289794921875,53.227664947509766,60.752838134765625,11.832462310791016,67.63735961914062,103.66297912597656,20.930999755859375,30.06574249267578,32.32294464111328,15.551864624023438,62.73289108276367,354.760009765625,108.86587524414062,30.677471160888672,57.57807159423828,33.01594161987305,52.353878021240234,49.42209243774414,112.6941909790039,75.12583923339844,104.99593353271484,34.9156494140625,386.8735656738281
2018-01-10,40.741600036621094,80.41217041015625,5.523309230804443,55.019134521484375,186.204833984375,62.71649932861328,22.31999969482422,11.960000038146973,35.678585052490234,31.20257568359375,187.11000061035156,106.94972229003906,43.03843688964844,109.26592254638672,52.468650817871094,86.64546966552734,27.246000289916992,20.7237548828125,42.23319625854492,48.551025390625,87.79302215576172,25.0429744720459,49.984283447265625,211.09674072265625,41.97572708129883,57.290122985839844,90.39827728271484,430.3310852050781,47.7249641418457,40.238975524902344,113.88017272949219,23.462745666503906,42.08985137939453,69.17529296875,76.15373229980469,201.57192993164062,83.55554962158203,50.18252944946289,45.38785171508789,58.99283981323242,35.43184280395508,90.20374298095703,72.13717651367188,165.66307067871094,29.115726470947266,155.70849609375,142.05712890625,49.62690734863281,57.07057189941406,80.50237274169922,138.67625427246094,145.5933074951172,305.2055358886719,85.23042297363281,124.81129455566406,264.246826171875,69.85894012451172,92.72398376464844,115.93965148925781,150.90162658691406,58.903987884521484,89.39086151123047,43.81324768066406,59.42953872680664,82.41860961914062,73.54226684570312,53.62107849121094,60.23366165161133,11.7949800491333,67.67327880859375,103.21981048583984,21.25200080871582,30.42111587524414,32.373050689697266,15.190960884094238,61.097625732421875,350.8299865722656,108.933837890625,30.42490577697754,56.777198791503906,32.555519104003906,51.552757263183594,48.46757888793945,109.94574737548828,73.20024108886719,104.64704895019531,34.14976119995117,375.860595703125
2018-01-11,40.973026275634766,80.6502456665039,5.533185958862305,55.11379623413086,186.13543701171875,63.83399963378906,22.530000686645508,12.140000343322754,36.44252014160156,31.35110855102539,188.9199981689453,107.2446060180664,43.17073059082031,109.27926635742188,52.60533905029297,87.41160583496094,27.516000747680664,20.77658462524414,41.755367279052734,48.45994567871094,88.2628402709961,25.133146286010742,49.897178649902344,211.7607421875,42.185882568359375,57.22197341918945,89.96067810058594,435.4717712402344,48.26850128173828,40.58266067504883,114.52874755859375,23.520641326904297,42.31020736694336,69.37796783447266,76.41021728515625,203.88775634765625,83.8532485961914,50.525367736816406,45.72454071044922,60.19647979736328,35.408775329589844,89.74304962158203,71.88201141357422,169.2010955810547,29.21796989440918,158.0465850830078,141.95889282226562,49.776241302490234,57.13277053833008,81.84452819824219,141.46031188964844,147.81771850585938,312.6960144042969,85.6356430053711,125.4707260131836,264.3105773925781,69.90557861328125,95.34590911865234,116.47911071777344,151.6338348388672,59.485652923583984,92.10749053955078,44.97603225708008,60.56940460205078,84.72172546386719,73.75119018554688,54.191932678222656,61.50727844238281,11.994893074035645,67.9608154296875,104.65302276611328,21.724000930786133,31.5390567779541,32.636104583740234,15.13288402557373,61.04981231689453,355.2699890136719,108.69119262695312,30.406742095947266,56.1889533996582,32.052608489990234,50.98161315917969,48.633235931396484,107.83647918701172,72.34210205078125,104.55191040039062,34.29135513305664,369.404052734375
2018-01-12,41.3961296081543,82.04203796386719,5.506023406982422,56.03561782836914,177.8085479736328,65.26000213623047,22.4146671295166,12.020000457763672,36.29979705810547,31.9531192779541,195.0500030517578,108.36522674560547,43.66459655761719,108.5737533569336,52.56513977050781,89.03079223632812,27.63800048828125,20.83887481689453,41.745628356933594,48.68766403198242,89.72007751464844,25.567611694335938,49.53290939331055,213.3378143310547,42.9019660949707,58.19132995605469,90.17500305175781,449.7278137207031,49.3555908203125,40.797462463378906,115.2960433959961,23.507774353027344,43.088829040527344,70.12577056884766,76.93206787109375,205.36322021484375,84.5336685180664,50.43107604980469,45.973411560058594,60.01365280151367,35.49336242675781,90.12693786621094,71.45145416259766,171.39894104003906,29.466272354125977,159.45921325683594,142.10626220703125,50.10808563232422,57.47047424316406,86.22142028808594,142.3800048828125,149.44189453125,320.4056701660156,84.46502685546875,126.38445281982422,268.3974304199219,70.72895812988281,95.7959976196289,117.15961456298828,152.98550415039062,59.88937759399414,92.8230972290039,45.63720703125,61.292598724365234,85.1337661743164,75.62432098388672,55.094478607177734,62.08325958251953,12.194808959960938,69.5421142578125,106.04853057861328,22.12299919128418,31.420595169067383,32.47952651977539,15.30711555480957,60.89680480957031,354.0,109.78782653808594,30.370361328125,55.91962432861328,31.762174606323242,50.03956604003906,48.79100036621094,106.26253509521484,72.25839233398438,104.98324584960938,33.9309196472168,369.879150390625
2018-01-16,41.18574142456055,80.8974838256836,5.435153007507324,56.0380973815918,176.8370819091797,65.24299621582031,22.67066764831543,11.90999984741211,36.21586227416992,31.69512176513672,192.4600067138672,107.03820037841797,43.73516845703125,109.04630279541016,54.87259292602539,89.18872833251953,27.95800018310547,20.756872177124023,41.85288619995117,49.644107818603516,89.40155029296875,25.608598709106445,49.493309020996094,214.52474975585938,42.49721908569336,58.39579772949219,89.61237335205078,455.77508544921875,49.48033905029297,40.93349838256836,116.16617584228516,23.546377182006836,45.59365463256836,71.62836456298828,75.43730163574219,203.25257873535156,84.60169219970703,50.0882453918457,43.85809326171875,60.51641082763672,35.78562927246094,90.49549865722656,71.93783569335938,171.12200927734375,29.41368865966797,159.36985778808594,142.1963348388672,50.240814208984375,56.3596305847168,86.31546783447266,141.55226135253906,147.8883514404297,319.40509033203125,81.98868560791016,125.44692993164062,263.4964294433594,69.37734985351562,94.93155670166016,116.44591522216797,153.1544189453125,59.513023376464844,91.7183837890625,44.71764373779297,60.663726806640625,83.55535888671875,74.56529998779297,54.60078048706055,61.06108093261719,12.113590240478516,69.11085510253906,104.37015533447266,22.152999877929688,30.961580276489258,32.35426330566406,15.232442855834961,60.21783447265625,352.92999267578125,108.61356353759766,30.414823532104492,55.57944107055664,31.63468360900879,50.06922912597656,49.019775390625,108.3637924194336,73.47930145263672,104.68514251708984,34.07252502441406,380.1877136230469
