Return,Risk,Sharpe
0.16868223149306621,0.18843892450203129,0.6828856184205141
0.1772122927497585,0.1967219188114744,0.6974936681115534
0.18647749506756434,0.20132031494806865,0.7275842733772235
0.18409420457139242,0.19641633223467075,0.7336162066158233
0.1747047424102078,0.1954324558088818,0.6892649527053935
0.16931569301076282,0.19068000407073846,0.6781817193730985
0.1718942190081024,0.1968572026042038,0.6699994577962465
0.18360722147145994,0.19779097504043638,0.7260554807523492
0.18329695764502926,0.19599340433124887,0.7311315303388616
0.17142823100162402,0.1939066815930916,0.6777911411914259
0.17917276132595325,0.19575459551720198,0.710955270083166
0.18408887265699383,0.1929289422105938,0.7468494410740715
0.16839516504255578,0.19067014655440018,0.673388925129521
0.18587286873826547,0.19568477347032923,0.7454482336633284
0.1676220100243364,0.19548747822823742,0.6528398196192081
0.17345471228405562,0.19533842325890663,0.6831974480881893
0.1745511583159967,0.19799394728254952,0.6795720786554346
0.16327346843447277,0.18597351944727053,0.6628549526881689
0.16488818007478226,0.1887298751192401,0.6617297870614153
0.1822979028425799,0.19566078007156817,0.727268401927717
0.19266613159455515,0.2034282359769187,0.7504667720358982
0.18083339907742768,0.1937313799393755,0.7269519224066786
0.17141259723160118,0.19316057945684867,0.6803282408922274
0.1810618181206674,0.19449719654614142,0.7252640173001295
0.19053874039958602,0.20400754254168318,0.7379077191169423
0.1697539637356203,0.1947575456800088,0.6662333070720098
0.17904601946566345,0.19315100133843544,0.719882467614184
0.18690876318097946,0.1980910657575937,0.7416223574704444
0.1764636009673557,0.19168640376174123,0.7119106952258056
0.17485256635875612,0.18898086753939103,0.7135778775629101
0.17005404555871229,0.18760078369581654,0.6932489459616925
0.1725260510815036,0.19119353077936677,0.6931513348871401
0.17251808002589258,0.191704653044555,0.6912616773839778
0.1648180343612634,0.18375644662457893,0.6792579887892105
0.1713602386124188,0.1932133207194063,0.6798715436560736
0.17066167145625996,0.19464224029437865,0.6712914486529032
0.17380179317490557,0.19491279554897972,0.6864700329090629
0.18270886731829344,0.19613145019028475,0.7276184782187596
0.17274465483910542,0.19650113234382527,0.6755414243966655
0.17535900190309614,0.1895052775725798,0.7142756319873685
0.1706859708986442,0.1914830387052338,0.6824937173668957
0.18224964157972937,0.19829730506995738,0.7173553948680496
0.1789840834247605,0.2006651406813805,0.692616978478797
0.17936802010539055,0.19842515220042384,0.7023707355639002
0.18022124174367377,0.19285958564351682,0.727063896128346
0.18111492278933536,0.1984055737150648,0.7112447505733586
0.1712823406263465,0.19131554889458136,0.6862084205120498
0.17892385255508897,0.1973588020264247,0.7039151592361622
0.17270899373444065,0.18989544231611918,0.6988529693804858
0.18065629016446705,0.19672763228453177,0.7149798354764548
0.16644409453117978,0.18550771639558808,0.6816109700878566
0.17423813277318936,0.19662384857203308,0.6827154170162185
0.18741757024057415,0.18936890273130272,0.7784676792986771
0.18912548497513132,0.19914702361466527,0.7488210582733994
0.1815781131966021,0.1965732830552849,0.7202306996967854
0.18473922000023674,0.19675209963514578,0.7356425688398702
0.16066162029921438,0.1908426373767391,0.6322571410550064
0.17439928563828933,0.1910931665893321,0.7033181145986214
0.1695687513623193,0.19583003570365093,0.661638807840465
0.1805118451550751,0.18962837645390326,0.740985330269028
0.1801414421378515,0.1947960786268471,0.7194264028605397
0.18046419727006752,0.19918039308857452,0.7052109652560219
0.1787805895084701,0.19637512235169727,0.7067116641176244
0.1675592773357923,0.1871464964039256,0.6816012043339358
0.1738159167553468,0.19556783271031963,0.6842429805598886
0.17507225131129975,0.1963345012925721,0.6879700227013026
0.1845823546303626,0.19244971017968504,0.7512734339551356
0.16518250153559078,0.1869014228396337,0.669778215883357
0.17244676833289152,0.19006526274442462,0.6968488950607925
0.16903700286092357,0.18786546241785787,0.6868585699585074
0.17691691986557512,0.18795530695631193,0.7284546634131479
0.17620114661226075,0.19577001364042004,0.6957201671468837
0.1729860459976411,0.19455179691680627,0.6835508492091094
0.16228742546989042,0.18959666718660073,0.6449872104003564
